1.      [באתה] אלינו אנ[שי... | ...    ]ה שתי ש[...  
2.      [קרו]בתה כסבורה ש[.... | ... אחר] שנהרג בעלה [...
3.      [ל]ה בכפר נאג'רה על מה [ ... | ... וסיפר] לנו כל מאורעה [...
4.      [ל]ו הנה קרובת אשתך [... | ... ]על היהודים ועמדה [ב]פחד ג[דו]ל ועש[...
5.      ]קמיסה שלפשתן וחיפ[שוה ... | ... להכ]ניסה בתוכה ולשרפה ועמדו אנשי נאג'רה [...  להם]  
6.      ] תהיה צדקה ושחדו לכ[מרים ... | ... ולחר]טומים ולהגמונים בחמשה ושלשים דינרין ש[ל כסף... 
7.      ] הם החמשה דינרין ה[... | .... יו]ם טוב נרבוני זה שהלך עמה והיו אצלו שלש[ים...
8.      ] קאסימי מה שזימן [ ... |...]בידיו[ ...א]נשי קהל נאג'רה ושלחוה חצות לילה ממקו[מם... 
9.      ו]לכשבקשה למחר[ת ....|....] לחפש אחריה אם יש לה ממה שיגבה ממנה השלשים דינרין [אשר הוציא]
10.  מנ]כסיו בפדיונה [ ... | ... לא נמצאה] העניה עד שבאת אצלינו היום כמו שנה מעוברת ו[ילדה את]
11.  הבת] השניה ומאותו ה[כסף ...| ... שהיה אצ]לינו עשינו עמה ועם בנותיה כפי השגת ידינו עד[... 
12.  ]ריה ממשה זה ותב[ענו ממנו ... |... שתת]ן משלו בפדיונה וענתה ואמרה בפנינו בודאי ש[...
13.  של]שים דינרים במה ש[.. | ... והיתה] לה יריעה אחת ונתנה אותה לו בזהוב וחצי ופייס[נו...
14.  ]המאורעה זו כמו ש[ ... | ... ] בעת שנבחנה בחינה זו והיו [ר]וצים לש[רפה
15.  לולי רחמי שמים [ ... | ... ]עד שתספיק די השלשים דינרין ש[... 
16.  לפי שלא יכלה לה[ ... | ... ] שאו עיניכם לשמים וחוסו ע[ל... ועל]
17.  עינותה ועל עוניה [... | ... ועשו כמנ]הג אבותיכם הקדמונים ואמ[ותיכם ...
18.  בבניהם לה לפי ש[כתוב ... | ... ובאבר]הם כת' כי ידעתי[ו] ולמען [אשר יצוה ...
19.  וביצחק כת' ויז[רע יצחק ... | ... וכת' זרעו לכם לצד]קה וגו' ביעקב [כת' ויכ]ל י[עקב לצות את בניו]
20.  ואין צואה אלא צ[דקה ... | ... ואין אנו כמזהיר]ין אלא כמזכיר[ין] שמ[...
21.  ] ויחמול וירחם [ ... | ... ויקו]יים בנו ובכם קרא ד[כת'] קויי [יי יחליפו כח יעלו]
22.  [אבר] כנשרים ירו[צו ולא ייגעו... | ... ] אחר כך פייסנו ממשה בר איש [...
23.  ] אלו [ה]חמשה [ ... | ... ונותרו לפי ש]עה אחד עשר דינרין של כסף [...
24.  ונת]נו למ' [ ... | ... ש]מואל ר יעקב נ'נ' דוד בר [....
25.  [... | ... נ']נ' שמואל בר י[עק]ב נ'נ' יוש[
