(verso)

יובל בשמחה וגיל אל יקר כבוד ק[דושת . . . . . . . הבחור הטוב

Bodl. MS heb. e 108/69 69 recto

שלומות אפודים וברכות | וטובות אחודים ונחמות אגודים
כלל כל המחמדים וחכמת הנחמדי|ם ליקר כבוד קדוש מר ור
אוהב חסד ורודף צדק יושמר נצר מ|כל רע ומכל נזק ממנו אחיך דורש[י
שלומך המתפללים תמיד על חייך ועל | מי שהוא כמוך בישראל ומלפני צור
בה נשאל לשמוע ממנו בעדך ובעד כ|ל עמו ישראל כל תחינה כל תפלה כל
בקשה וכל שאילה ולהס [. . . .] מ . | . להצילכם מכל תאלה ומבהלה ולהחי[ש
בסערה עלה ולקרב קץ הגאו[לה] ולבנו|ת בית התפילה לקבץ אליו שארית [ישראל
הן יאמר נורא עלילה אמן אמן בעגל|[ה . . .] אנחנו אחיכם המיוסרים אשר
בש]חין מתייסרים ובגרב רע מתחסרים | ונפלנו אברים אברים אנשים ונש[ים
גב]רים ונערים בתולעות ורמות מתבס|[סים] להיותינו בגופינו אסורים כלואי[ם
]חרשים עורים קטעים חגרים בכ|ל מיני שחינים נמסרים וברוך דיין א[מת
אומרים] דבריו קימים לא עוברים [. . .] | שמו מבורך לדור[
]בה ול[. . . ]ש מי שהוא [. . . . ] | לרחמים
